Material ,U_23MT01,U_23MT02,U_23MT04,U_23MT05,22MT02,22MT03,22MT04,22MT05,25MT01,25MT02,25MT03,25MT04,26MT01,26MT02,26MT03,26MT04,Total
1451710,2,2,5,3,,,,,1,,,,,,,,13
1002150,,,,,,,,,,,3,3,,,,,6
1002373,,,,,,,,,1,2,1,2,,,,,6
1036590,,,,,,,,,,,,,8,,,,8
1045448,,,,,,,,,,,,,6,1,,1,8
1172415,,,,,,,,,1,,9,5,,,,,15
1172898,,,,,,,,,,,3,3,,,,,6
1172919,,,,,,,,,,,2,9,,,,,11
1172993,,,,,,,,,,1,,,,,,,1
1206154,,,,,,,,,,,5,1,,,,,6
1290229,,,,,,,,,1,,,,,,,,1
1368236,,,,,,,,,,,,,2,2,,1,5
1397022,,1,,1,1,1,1,1,,,,,1,,,1,8
1399322,,,,,,,,,,,,3,,1,,,4
1418373,,,,,,,,,,,1,4,,,,,5
1428047,,,4,,2,2,2,,,,,,,,,,10
1451704,,1,,,1,1,,,,,,,,,,,3
1451710,2,2,5,3,,1,,,,,1,,,,,,14
1486042,,,,,,,,,1,,,,,,,,1
1513667,,,,,,,,,,,,,,,,1,1
1520984,,3,4,4,1,2,5,1,1,,,,,,,,21
1521498,,,,,,,,,1,,1,,,,,,2
1527533,,,,,,,,,,,,,1,,,,1
1529056,,,,,,,,,,,,,,2,1,,3
1529065,,,,,,,,,2,2,,1,,,,,5
1529244,,,,,,,,,,,,,1,,,1,2
1552603,,,,,,,,,1,,,,1,,,,2
1567195,,2,1,2,,,1,,,,,,,,,,6
1607495,,,,,,,,,1,,,1,,,,,2
1648637,,3,,,2,2,,,,,1,1,,,,,9
1648718,,,,,,,,,3,4,2,,,,,,9
1667507,,,,,,,,,2,2,1,,,,,,5
1668834,,,,,,,,,,,,,1,,,,1
1688915,,,,,,,,,,,3,8,,,,,11
1698522,2,2,1,2,,2,1,,,,,,,,,,10
1756358,,,,,,,,,8,1,,,,,,,9
1775253,7,9,15,13,6,5,5,1,,,,,,,,,61
1778314,,,,,,,,,,,,1,,,,,1
1779699,,,,,,,,,,5,3,7,1,,,,16
1875468,,,,,,,,,1,4,1,,,,,,6
1880112,,,,,,,,,,2,,1,,,,,3
1974017,,,,,,,,,1,,,,,,,1,2
1985101,,,,,,,,,,,,,8,,1,4,13
3041211,,,,,,,,,,,,,1,,,,1
3044756,,,,,,,,,1,1,7,4,,,,,13
3055706,,,,,,,,,,1,,,,,,,1
,13,25,35,28,13,16,15,3,27,25,44,54,31,6,2,10,
