Purchasing Document,System Status,Short-term charac.,Inspection Lot,Material Document,Material,Batch,Short text for inspection object,Order,Vendor Batch,Storage Location,Insp. start date,End of Inspection,Material,Purch. Organization,Insp. Lot Quantity,Vendor Name,SLED/BBD,Short text,Plant
,INSP RREC SPRQ,2,40003260779,6026331115,1172919,0012752330,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108114882,,2003,26/03/2023,06/04/2023,,,"8,883.000",,25/09/2023,,5040
,UD   ICCO STUP,0,30004776790,,1172919,0012752330,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108114882,,,25/03/2023,26/03/2023,,,"9,000.000",,25/09/2023,,5040
,UD   ICCO SPCO STUP,0,40003258029,6026316015,1172919,0012739990,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108104354,,2003,21/03/2023,03/04/2023,,,"8,896.000",,20/09/2023,,5040
,UD   ICCO STUP,0,30004772491,,1172919,0012739990,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108104354,,,20/03/2023,21/03/2023,,,"9,000.000",,20/09/2023,,5040
,UD   ICCO SPCO STUP,0,40003252020,6026273140,1172919,0012720536,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108092358,,2003,06/03/2023,20/03/2023,,,"8,870.000",,05/09/2023,,5040
,UD   ICCO SPCO STUP,0,40003252311,6026273692,1172919,0012720649,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108091251,,2504,06/03/2023,20/03/2023,,,"8,910.000",,05/09/2023,,5040
,UD   ICCO STUP,0,30004765356,,1172919,0012720649,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108091251,,,05/03/2023,06/03/2023,,,"9,000.000",,05/09/2023,,5040
,UD   ICCO STUP,0,30004765575,,1172919,0012720536,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108092358,,,05/03/2023,05/03/2023,,,"9,000.000",,05/09/2023,,5040
,UD   ICCO SPCO STUP,1,40003246918,6026240329,1172919,0012698177,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108076256,,2004,21/02/2023,06/03/2023,,,"8,873.000",,23/08/2023,,5040
,UD   ICCO STUP,0,30004758079,,1172919,0012698177,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108076256,,,20/02/2023,21/02/2023,,,"9,000.000",,23/08/2023,,5040
,UD   ICCO SPCO STUP,0,40003238101,6026164934,1172919,0012651262,BCH LE/SI-1.00 CB/HB/B-1.00 P2A =1036077,108041520,,2004,25/01/2023,07/02/2023,,,"8,867.000",,27/07/2023,,5040
