Purchasing Document,System Status,Short-term charac.,Inspection Lot,Material Document,Material,Batch,Short text for inspection object,Order,Vendor Batch,Storage Location,Insp. start date,End of Inspection,Material,Purch. Organization,Insp. Lot Quantity,Vendor Name,SLED/BBD,Short text,Plant
,INSP RREC,3,30004775403,,1290229,0012739992,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108105556,,,22/03/2023,22/03/2023,,,"8,800.000",,21/09/2023,,5040
,UD   ICCO SPCO STUP,0,40003259967,6026322329,1290229,0012739992,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108105556,,2004,22/03/2023,03/04/2023,,,"8,695.000",,21/09/2023,,5040
,UD   ICCO SPCO STUP,0,40003257270,6026310801,1290229,0012739991,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108104355,,2003,18/03/2023,29/03/2023,,,"8,748.000",,17/09/2023,,5040
,UD   ICCO STUP,0,30004771755,,1290229,0012739991,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108104355,,,16/03/2023,17/03/2023,,,"8,800.000",,17/09/2023,,5040
,UD   ICCO SPCO STUP,0,40003237953,6026173338,1290229,0012663921,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108051968,,2004,29/01/2023,09/02/2023,,,"8,705.000",,31/07/2023,,5040
,UD   ICCO STUP,0,30004748114,,1290229,0012663921,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108051968,,,28/01/2023,29/01/2023,,,"8,800.000",,31/07/2023,,5040
,UD   ICCO SPCO STUP,0,40003230454,6026117021,1290229,0012619088,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108021590,,2003,09/01/2023,20/01/2023,,,"8,758.000",,11/07/2023,,5040
,UD   ICCO STUP,0,30004736093,,1290229,0012619088,BCH ST-143/CI-112/OR/D1131.5 P2A STD,108021590,,,07/01/2023,08/01/2023,,,"8,800.000",,11/07/2023,,5040
,UD   ICCO SPCO STUP,0,40003212127,6025962119,1290229,0012415560,BCH ST-143/CI-112/OR/D1131.5 P2A STD,107959657,,2003,09/11/2022,21/11/2022,,,"8,740.000",,04/05/2023,,5040
,UD   ICCO SPCO STUP,0,40003209957,6025943958,1290229,0012415561,BCH ST-143/CI-112/OR/D1131.5 P2A STD,107959658,,2004,03/11/2022,14/11/2022,,,"8,720.000",,05/05/2023,,5040
,UD   ICCO STUP,0,30004706150,,1290229,0012415561,BCH ST-143/CI-112/OR/D1131.5 P2A STD,107959658,,,02/11/2022,02/11/2022,,,"8,800.000",,05/05/2023,,5040
,UD   ICCO STUP,0,30004704820,,1290229,0012415560,BCH ST-143/CI-112/OR/D1131.5 P2A STD,107959657,,,01/11/2022,02/11/2022,,,"8,800.000",,04/05/2023,,5040
,UD   ICCO STUP,0,30004702330,,1290229,0012394807,BCH ST-143/CI-112/OR/D1131.5 P2A STD,107951240,,,27/10/2022,27/10/2022,,,800.000,,26/04/2023,,5040
