Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2202,107867810,51,1.0,0,0.0,0.0,16.666666666666668,
2202,107899926,90,0.0,2,0.0,0.0,30.0,
2202,107949892,120,0.0,0,0.0,0.0,60.0,
2202,107956670,51,1.0,1,0.0,0.0,16.666666666666668,
2202,107963677,31,1.0,1,0.0,0.0,15.0,
2202,107964410,90,0.0,1,0.0,0.0,30.0,
2202,107978116,51,1.0,2,0.0,0.0,16.666666666666668,
2202,107993270,35,0.0,3581,0.0,0.0,16.666666666666668,
2202,107999494,91,1.0,0,0.0,0.0,30.0,
2202,108026759,91,1.0,1,0.0,0.0,30.0,
2202,108033603,50,0.0,1,0.0,0.0,16.666666666666668,
2202,108045117,90,0.0,1,0.0,0.0,30.0,
2202,108073632,61,1.0,1,0.0,0.0,20.0,
2203,107887071,60,0.0,4670,0.0,0.0,20.0,
2203,107933869,51,1.0,4390,0.0,0.0,16.666666666666668,
2203,107949891,120,0.0,2,0.0,0.0,60.0,
2203,107963676,31,1.0,0,0.0,0.0,15.0,
2203,107971404,91,1.0,2,0.0,0.0,30.0,
2203,107978117,90,0.0,1,0.0,0.0,30.0,
2203,107999492,50,0.0,11,0.0,0.0,16.666666666666668,
2203,108015838,50,0.0,1,0.0,0.0,16.666666666666668,
2203,108030821,95,0.0,2,0.0,0.0,31.666666666666668,
2203,108033608,90,0.0,0,0.0,0.0,30.0,
2203,108042636,90,0.0,1,0.0,0.0,30.0,
2203,108051514,91,1.0,1,0.0,0.0,30.0,
2203,108059029,135,0.0,1,0.0,0.0,33.75,
2203,108067819,51,1.0,0,0.0,0.0,16.666666666666668,
2203,108073631,50,0.0,0,0.0,0.0,16.666666666666668,
2204,107848868,90,0.0,2316,0.0,0.0,30.0,
2204,107862335,135,0.0,1,0.0,0.0,33.75,
2204,107872112,90,0.0,1,0.0,0.0,30.0,
2204,107899925,91,1.0,0,0.0,0.0,30.0,
2204,107907563,51,1.0,1,0.0,0.0,16.666666666666668,
2204,107915806,135,0.0,1,0.0,0.0,33.75,
2204,107925352,90,0.0,1,0.0,0.0,30.0,
2204,107964387,90,0.0,3376,0.0,0.0,30.0,
2204,107969769,50,0.0,2,0.0,0.0,16.666666666666668,
2204,107978118,90,0.0,2,0.0,0.0,30.0,
2204,107992045,91,1.0,0,0.0,0.0,30.0,
2204,107999493,90,0.0,1,0.0,0.0,30.0,
2204,108015839,50,0.0,11,0.0,0.0,16.666666666666668,
2204,108026760,91,1.0,23,0.0,0.0,30.0,
2204,108042635,91,1.0,2,0.0,0.0,30.0,
2204,108075449,53,3.0,0,0.0,0.0,16.666666666666668,
2204,108084749,91,1.0,13,0.0,0.0,30.0,
2205,107964409,90,0.0,2839,0.0,0.0,30.0,
2205,108084750,92,2.0,0,0.0,0.0,30.0,
