Tank_1,BATCHID,Material,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2202,107867810,1648637,31,11.0,2144,1303.0,86.2927,10.0,65.4124
2202,107899926,1775253,26,6.0,2175,1633.6,126.4238,10.0,79.016
2202,107956670,1397022,11,0.0,4691,2050.8,186.4364,26.0,79.016
2202,107963677,1775253,70,50.0,5297,1630.0,47.5417,10.0,79.016
2202,107964410,1775253,85,65.0,2863,1631.8000000000002,39.9932,10.0,79.016
2202,107978116,1648637,16,3.0,4169,1305.3,267.8436,10.0,65.4124
2202,107999494,1775253,95,75.0,2778,1632.2,37.396,10.0,79.016
2202,108026759,1775253,28,9.0,3489,1631.6999999999998,133.5865,10.0,79.016
2202,108033603,1428047,71,41.0,2573,2434.0,108.636,10.0,79.016
2202,108045117,1520984,32,20.0,3227,910.022,28.4382,12.0,79.016
2202,108073632,1451704,23,2.0,4249,990.6,87.6346,11.0,45.2833
2203,107963676,1775253,59,39.0,5376,1632.0,91.1818,10.0,79.016
2203,107971404,1520984,16,4.0,2181,909.1,56.8188,12.0,79.016
2203,107978117,1775253,25,5.0,2206,1629.9,130.6013,10.0,79.016
2203,107999492,1428047,10,0.0,2786,2436.6,243.66,31.0,79.016
2203,108015838,1397022,22,6.0,3597,1233.0,129.1333,9.0,65.4124
2203,108030821,1451710,16,0.0,150,1525.0,95.3125,19.0,79.016
2203,108033608,1520984,23,11.0,5258,910.331,39.5796,12.0,79.016
2203,108042636,1775253,31,11.0,3523,1632.1999999999998,106.3012,10.0,79.016
2203,108051514,1775253,84,64.0,3871,1631.6,51.7968,10.0,79.016
2203,108059029,1698522,39,15.0,4511,1878.4,97.938,12.0,79.016
2203,108067819,1648637,25,7.0,4753,1307.3000000000002,120.1926,10.0,65.4124
2203,108073631,1428047,35,5.0,2611,2432.4,212.70589999999999,10.0,79.016
2204,107862335,1698522,78,58.0,5225,1880.0,130.9286,12.0,79.016
2204,107872112,1520984,12,0.0,25,909.001,75.7501,12.0,79.016
2204,107899925,1775253,25,6.0,1840,1631.316,141.6073,10.0,79.016
2204,107907563,1428047,8,0.0,2343,2437.9,304.7375,31.0,79.016
2204,107915806,1698522,11,0.0,4882,1878.4,170.7636,24.0,79.016
2204,107925352,1520984,55,43.0,4091,909.1,16.5291,12.0,79.016
2204,107969769,1397022,92,74.0,4379,1231.0,30.9921,9.0,65.4124
2204,107978118,1775253,37,17.0,2190,1632.5,93.7745,10.0,79.016
2204,107992045,1520984,60,48.0,3946,909.9,15.165,12.0,79.016
2204,107999493,1775253,23,3.0,2903,1632.5,142.2341,10.0,79.016
2204,108015839,1397022,23,0.0,3437,2052.4,173.6731,13.5,72.2142
2204,108026760,1775253,55,34.0,3097,1632.0,29.6727,21.0,79.016
2204,108042635,1775253,7,0.0,3490,1631.7,233.1,21.0,79.016
2204,108075449,1428047,32,5.0,2073,2436.3999999999996,247.82659999999998,10.0,79.016
2204,108084749,1567195,38,12.0,5268,2447.8,139.0784,15.5,79.016
