Tank_1,BATCHID,Material,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2503,107548288,1206154,10,0.0,247,450.9,45.09,10.0,45.2833
2503,107582580,1172415,57,25.0,694,1079.433,33.006,16.0,26.9725
2503,107588998,3044756,9,0.0,425,630.926,70.1029,10.0,65.4124
2503,107591594,1290229,12,3.0,54,750.118,62.5098,9.0,79.016
2503,107610053,1172919,15,4.0,430,900.635,60.0423,11.0,79.016
2503,107613203,1172415,45,14.0,1774,1079.435,44.0718,16.0,26.9725
2503,107616072,1688915,10,0.0,757,912.6,91.26,12.0,79.016
2503,107643500,1688915,17,5.0,236,912.332,53.6666,12.0,79.016
2503,107660417,1172898,10,0.0,185,661.769,66.1769,10.0,65.4124
2503,107673799,3044756,7,0.0,213,631.098,90.1569,10.0,65.4124
2503,107692173,1875468,13,3.0,97,456.063,35.0818,10.0,45.2833
2503,107695807,1667507,19,9.0,149,784.401,41.2843,10.0,79.016
2503,107711621,3044756,9,0.0,412,632.73,70.3033,10.0,65.4124
2503,107721590,1648637,17,7.0,161,683.911,40.2301,10.0,65.4124
2503,107762133,1002150,18,0.0,215,1253.0,130.4338,9.5,62.14965
2503,107769546,1172415,110,78.0,306,1079.4,24.4192,16.0,26.9725
2503,107781845,1172415,67,35.0,330,1078.388,33.4602,16.0,26.9725
2503,107792248,1206154,35,24.0,516,856.2,24.4629,11.0,79.016
2503,107799503,1172919,12,1.0,596,900.635,75.0529,11.0,79.016
2503,107813998,1172415,33,3.0,62,1080.452,51.2308,16.0,26.9725
2503,107829185,1206154,19,8.0,1618,855.9,45.0474,11.0,79.016
2503,107874915,1172415,36,4.0,361,1079.6,46.9379,16.0,26.9725
2503,107874934,3044756,9,0.0,407,631.041,70.1157,10.0,65.4124
2503,107894167,1172415,40,8.0,706,1079.442,41.8735,16.0,26.9725
2503,107916904,3044756,1,0.0,776,631.526,631.526,10.0,65.4124
2503,107926379,1418373,26,11.0,544,980.2,93.97749999999999,9.0,55.34785
2503,107926393,3044756,17,7.0,780,631.333,37.1372,10.0,65.4124
2503,107937909,1648718,5,0.0,474,135.59,27.118,5.0,29.54
2503,107940278,3044756,15,5.0,302,632.323,42.1549,10.0,65.4124
2503,107959479,1002373,20,10.0,709,817.422,40.8711,10.0,79.016
2503,107963442,1688915,15,3.0,115,912.188,60.8125,12.0,79.016
2503,107979412,1206154,13,2.0,464,855.4,65.8,11.0,79.016
2503,107979414,1648718,9,4.0,1555,135.265,15.0294,5.0,29.54
2503,107988451,1779699,223,205.0,361,1130.213,10.8171,9.0,54.278000000000006
2503,107996308,1002150,204,184.0,412,1253.4,48.042899999999996,10.0,65.4124
2503,107996319,1779699,16,0.0,407,1131.826,141.47820000000002,9.0,65.4124
2503,108026803,1451710,11,2.0,476,745.871,67.8065,9.0,79.016
2503,108033837,1172898,31,12.0,21,1321.381,103.4544,10.0,65.4124
2503,108041492,1779699,33,16.0,6,1132.027,71.2536,8.5,65.4124
2503,108045504,1172415,207,175.0,120,1082.5,16.3834,16.0,26.9725
2503,108051972,1667507,18,8.0,566,804.007,44.6671,10.0,79.016
2503,108068558,1172415,152,120.0,3044,1078.473,22.3441,16.0,26.9725
2503,108075715,1206154,13,3.0,2901,450.6,34.6615,10.0,45.2833
2504,107563460,1779699,8,0.0,1527,600.325,75.0406,9.0,65.4124
2504,107591055,1399322,15,7.0,449,510.201,34.0134,8.0,65.4124
2504,107591591,1002373,13,3.0,163,817.895,62.915,10.0,79.016
2504,107596918,1172898,31,11.0,276,1323.446,89.9666,10.0,65.4124
2504,107610054,1418373,38,16.0,300,981.2660000000001,55.4809,11.0,45.2833
2504,107619384,1172919,18,7.0,93,899.835,49.9908,11.0,79.016
2504,107619396,1779699,10,1.0,1399,598.925,59.8925,9.0,65.4124
2504,107619406,3044756,23,13.0,329,632.059,27.4808,10.0,65.4124
2504,107630223,3044756,15,5.0,320,630.372,42.0248,10.0,65.4124
2504,107643492,1206154,14,4.0,457,451.2,32.2286,10.0,45.2833
2504,107643493,1399322,15,7.0,191,510.802,34.0535,8.0,65.4124
2504,107650510,1648637,9,0.0,45,685.104,76.1227,10.0,65.4124
2504,107650552,1172415,35,3.0,188,1082.787,48.168600000000005,16.0,26.9725
2504,107684380,1172415,147,115.0,63,1079.504,32.707100000000004,16.0,26.9725
2504,107692172,1779699,14,5.0,152,599.426,42.8161,9.0,65.4124
2504,107721589,1172919,17,6.0,867,900.135,52.9491,11.0,79.016
2504,107750511,1399322,11,0.0,221,1003.29,91.2082,13.0,79.016
2504,107762140,1688915,16,4.0,484,912.919,57.0574,12.0,79.016
2504,107781846,1172898,14,2.0,286,985.578,70.3984,12.0,79.016
2504,107782258,3044756,13,3.0,557,631.624,48.5865,10.0,65.4124
2504,107790590,1172919,14,3.0,663,900.435,64.3168,11.0,79.016
2504,107799513,1779699,23,14.0,346,598.725,26.0315,9.0,65.4124
2504,107820045,1418373,37,19.0,381,980.201,54.4002,9.0,55.34785
2504,107820264,1779699,9,0.0,338,597.626,66.4029,9.0,65.4124
2504,107829178,1688915,8,0.0,543,912.213,114.0266,12.0,79.016
2504,107829859,1002150,33,15.0,486,1252.5,87.2331,9.0,54.278000000000006
2504,107837369,1002373,10,0.0,406,817.297,81.7297,10.0,79.016
2504,107848342,1172898,25,9.0,847,984.246,93.6702,8.5,55.34785
2504,107858267,1172919,13,2.0,165,900.235,69.2488,11.0,79.016
2504,107858274,1880112,16,6.0,558,797.708,49.8567,10.0,79.016
2504,107916883,1002150,29,10.0,292,1252.8000000000002,98.8544,9.5,65.4124
2504,107926375,1172415,43,11.0,163,1079.471,39.4696,16.0,26.9725
2504,107934311,1688915,15,3.0,100,912.5,60.8333,12.0,79.016
2504,107940267,1172919,10,0.0,411,898.135,89.8135,11.0,79.016
2504,107949929,1418373,64,49.0,239,979.542,34.0714,7.5,54.278000000000006
2504,107949934,1778314,22,10.0,1909,979.723,44.5329,12.0,79.016
2504,107959481,1172415,59,27.0,173,1079.453,30.822799999999997,16.0,26.9725
2504,107963436,1172919,38,27.0,1046,900.098,23.6868,11.0,79.016
2504,107984689,1779699,24,8.0,616,1131.726,100.92590000000001,9.0,54.278000000000006
2504,107996317,1688915,13,1.0,206,912.7,70.2077,12.0,79.016
2504,108004815,1172919,16,5.0,2209,882.032,55.127,11.0,79.016
2504,108015239,1667507,11,1.0,431,804.308,73.1189,10.0,79.016
2504,108018589,1779699,38,20.0,469,1131.1989999999998,62.5359,9.0,47.249750000000006
2504,108033838,1172919,19,8.0,198,900.435,47.3913,11.0,79.016
2504,108041496,3044756,9,0.0,682,631.277,70.1419,10.0,65.4124
2504,108067054,1002150,35,16.0,245,1251.6999999999998,93.6064,10.0,65.4124
2504,108083245,1172415,43,11.0,125,1077.5,39.0032,16.0,26.9725
2504,108083247,1418373,280,259.0,585,980.419,50.8324,11.0,45.2833
2504,108091251,1172919,16,5.0,35,900.535,56.2834,11.0,79.016
