Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2302,107553571,51,1.0,4222,0.0,0.0,16.666666666666668,
2302,107569832,91,1.0,2731,0.0,0.0,30.0,
2302,107593359,61,1.0,1,0.0,0.0,20.0,
2302,107609177,90,0.0,0,0.0,0.0,30.0,
2302,107622258,135,0.0,1,0.0,0.0,33.75,
2302,107641913,90,0.0,2,0.0,0.0,30.0,
2302,107650387,90,0.0,2,0.0,0.0,30.0,
2302,107659927,91,1.0,0,0.0,0.0,30.0,
2302,107671476,90,0.0,1,0.0,0.0,30.0,
2302,107681781,135,0.0,3123,0.0,0.0,33.75,
2302,107689604,95,0.0,1,0.0,0.0,31.666666666666668,
2302,107706035,60,0.0,26,0.0,0.0,20.0,
2302,107734577,92,2.0,0,0.0,0.0,30.0,
2302,107743576,51,1.0,17,0.0,0.0,16.666666666666668,
2302,107749891,91,1.0,11,0.0,0.0,30.0,
2302,107790571,90,0.0,2,0.0,0.0,30.0,
2302,107811558,51,1.0,1,0.0,0.0,16.666666666666668,
2302,107818428,90,0.0,1,0.0,0.0,30.0,
2302,107827265,60,0.0,0,0.0,0.0,20.0,
2302,107848446,60,0.0,4719,0.0,0.0,20.0,
2302,107884494,90,0.0,1,0.0,0.0,30.0,
2302,107892292,61,1.0,1,0.0,0.0,20.0,
2302,107899894,50,0.0,1,0.0,0.0,16.666666666666668,
2302,107906446,31,0.0,2,0.0,0.0,30.0,
2302,107926370,91,1.0,0,0.0,0.0,30.0,
2302,107934686,95,0.0,1,0.0,0.0,31.666666666666668,
2302,108067815,91,1.0,21,0.0,0.0,30.0,
2302,108084745,91,1.0,0,0.0,0.0,30.0,
2304,107548331,91,1.0,1,0.0,0.0,30.0,
2304,107569833,91,1.0,3033,0.0,0.0,30.0,
2304,107591052,90,0.0,1661,0.0,0.0,30.0,
2304,107599384,90,0.0,1952,0.0,0.0,30.0,
2304,107618350,90,0.0,1,0.0,0.0,30.0,
2304,107641910,61,1.0,0,0.0,0.0,20.0,
2304,107671477,61,1.0,0,0.0,0.0,20.0,
2304,107689606,96,1.0,0,0.0,0.0,31.666666666666668,
2304,107734590,91,1.0,1,0.0,0.0,30.0,
2304,107749892,92,2.0,0,0.0,0.0,30.0,
2304,107771594,60,0.0,2,0.0,0.0,20.0,
2304,107781794,92,2.0,10,0.0,0.0,30.0,
2304,107795782,90,0.0,37,0.0,0.0,30.0,
2304,107799243,95,0.0,1,0.0,0.0,31.666666666666668,
2304,107799473,62,2.0,0,0.0,0.0,20.0,
2304,107801959,95,0.0,2,0.0,0.0,31.666666666666668,
2304,107833744,91,1.0,4,0.0,0.0,30.0,
2304,107845579,90,0.0,3,0.0,0.0,30.0,
2304,107848869,92,2.0,0,0.0,0.0,30.0,
2304,107856517,95,0.0,2,0.0,0.0,31.666666666666668,
2304,107887070,90,0.0,1,0.0,0.0,30.0,
2304,107915805,90,0.0,2,0.0,0.0,30.0,
2304,107926371,90,0.0,16,0.0,0.0,30.0,
2304,107934685,95,0.0,2,0.0,0.0,31.666666666666668,
2304,107949402,165,0.0,129,0.0,0.0,55.0,
2304,107963678,31,1.0,1,0.0,0.0,15.0,
2304,108015840,139,1.0,2,0.0,0.0,39.0,
2304,108084746,90,0.0,1,0.0,0.0,30.0,
2305,107553570,135,0.0,1980,0.0,0.0,33.75,
2305,107579750,90,0.0,2603,0.0,0.0,30.0,
2305,107591051,91,1.0,2,0.0,0.0,30.0,
2305,107599385,90,0.0,2165,0.0,0.0,30.0,
2305,107618351,93,3.0,15,0.0,0.0,30.0,
2305,107650388,91,1.0,1,0.0,0.0,30.0,
2305,107659907,90,0.0,2,0.0,0.0,30.0,
2305,107689631,90,0.0,1,0.0,0.0,30.0,
2305,107706036,60,0.0,2,0.0,0.0,20.0,
2305,107710852,91,1.0,3568,0.0,0.0,30.0,
2305,107734581,91,1.0,26,0.0,0.0,30.0,
2305,107741228,136,1.0,1,0.0,0.0,33.75,
2305,107771598,91,1.0,2,0.0,0.0,30.0,
2305,107781795,90,0.0,3,0.0,0.0,30.0,
2305,107790572,90,0.0,2,0.0,0.0,30.0,
2305,107799242,95,0.0,2,0.0,0.0,31.666666666666668,
2305,107802618,91,1.0,1,0.0,0.0,30.0,
2305,107818427,90,0.0,3,0.0,0.0,30.0,
2305,107845580,91,1.0,0,0.0,0.0,30.0,
2305,107848870,90,0.0,2,0.0,0.0,30.0,
2305,107856518,95,0.0,1,0.0,0.0,31.666666666666668,
2305,107899895,50,0.0,2,0.0,0.0,16.666666666666668,
2305,107915804,90,0.0,2,0.0,0.0,30.0,
2305,107934335,95,0.0,2,0.0,0.0,31.666666666666668,
2305,108067816,90,0.0,1,0.0,0.0,30.0,
2305,108084747,90,0.0,2,0.0,0.0,30.0,
