Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2501,107548283,91,1.0,0,0.0,0.0,30.0,
2501,107599589,50,0.0,2,0.0,0.0,16.666666666666668,
2501,107599630,0,0.0,3,0.0,0.0,0.0,
2501,107619398,90,0.0,2,0.0,0.0,30.0,
2501,107654587,95,0.0,1,0.0,0.0,31.666666666666668,
2501,107673784,50,0.0,1,0.0,0.0,16.666666666666668,
2501,107692170,50,0.0,2,0.0,0.0,16.666666666666668,
2501,107721584,97,2.0,1,0.0,0.0,31.666666666666668,
2501,107781849,95,0.0,2,0.0,0.0,31.666666666666668,
2501,107799508,60,0.0,2,0.0,0.0,20.0,
2501,107820047,60,0.0,0,0.0,0.0,60.0,
2501,107829242,95,0.0,1,0.0,0.0,31.666666666666668,
2501,107837364,95,0.0,1,0.0,0.0,31.666666666666668,
2501,107858284,62,2.0,1,0.0,0.0,20.0,
2501,107884951,50,0.0,1,0.0,0.0,16.666666666666668,
2501,107894171,50,0.0,1,0.0,0.0,16.666666666666668,
2501,107907568,95,0.0,2,0.0,0.0,31.666666666666668,
2501,107926373,50,0.0,1,0.0,0.0,16.666666666666668,
2501,107949933,95,0.0,2,0.0,0.0,31.666666666666668,
2501,107963440,91,1.0,1,0.0,0.0,30.0,
2501,107975586,96,1.0,1,0.0,0.0,31.666666666666668,
2501,108033842,91,1.0,2,0.0,0.0,30.0,
2501,108049009,52,2.0,0,0.0,0.0,16.666666666666668,
2501,108051967,75,0.0,0,0.0,0.0,25.0,
2501,108058736,96,1.0,0,0.0,0.0,31.666666666666668,
2501,108058739,90,0.0,2,0.0,0.0,30.0,
2501,108068562,50,0.0,2,0.0,0.0,16.666666666666668,
2502,107573888,91,1.0,1,0.0,0.0,30.0,
2502,107630217,90,0.0,3,0.0,0.0,30.0,
2502,107643502,90,0.0,2,0.0,0.0,30.0,
2502,107673347,96,1.0,0,0.0,0.0,31.666666666666668,
2502,107673776,50,0.0,1,0.0,0.0,16.666666666666668,
2502,107700722,50,0.0,0,0.0,0.0,16.666666666666668,
2502,107711607,50,0.0,2,0.0,0.0,16.666666666666668,
2502,107737576,91,1.0,1,0.0,0.0,30.0,
2502,107741788,90,0.0,1,0.0,0.0,30.0,
2502,107790594,50,0.0,1,0.0,0.0,16.666666666666668,
2502,107815341,61,1.0,1,0.0,0.0,20.0,
2502,107829240,51,1.0,1,0.0,0.0,16.666666666666668,
2502,107831024,90,0.0,2,0.0,0.0,30.0,
2502,107831025,51,1.0,1,0.0,0.0,16.666666666666668,
2502,107872046,90,0.0,3,0.0,0.0,30.0,
2502,107874920,90,0.0,2,0.0,0.0,30.0,
2502,107896329,75,0.0,1,0.0,0.0,25.0,
2502,107907571,51,1.0,2,0.0,0.0,16.666666666666668,
2502,107916897,90,0.0,3,0.0,0.0,30.0,
2502,107949935,90,0.0,2,0.0,0.0,30.0,
2502,107971789,50,0.0,1,0.0,0.0,16.666666666666668,
2502,108033836,52,2.0,0,0.0,0.0,16.666666666666668,
2502,108045551,90,0.0,2,0.0,0.0,30.0,
2502,108084758,50,0.0,0,0.0,0.0,16.666666666666668,
