Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2202,107867810,467,436.0,0,1144.778,31.1201,18.0,26.66825
2202,107899926,1030,974.0,0,3000.0,2.9126,56.0,53.6
2202,107956670,60,0.0,0,3896.0,104.17779999999999,41.0,38.53335
2202,107964410,67,11.0,0,3000.0,44.7761,56.0,53.6
2202,107978116,37,5.0,0,1145.0,56.4248,18.0,26.66825
2202,107993270,80,19.0,1,3500.0,98.21430000000001,32.5,53.6
2202,107999494,419,363.0,0,3000.0,7.1599,56.0,53.6
2202,108026759,67,11.0,0,3000.0,44.7761,56.0,53.6
2202,108033603,38,0.0,1,3500.0,253.57139999999998,32.5,53.6
2202,108045117,155,127.0,0,1500.0,9.6774,28.0,53.6
2202,108073632,472,432.0,0,2019.35,34.5295,20.0,29.9591
2203,107887071,57,33.0,0,2019.313,95.7746,20.0,29.9591
2203,107933869,104,72.0,0,1144.731,34.325900000000004,18.0,26.66825
2203,107971404,18,0.0,0,1500.0,83.3333,28.0,53.6
2203,107978117,49,0.0,0,3000.0,61.2245,56.0,53.6
2203,107999492,673,608.0,0,3500.0,15.6496,32.5,53.6
2203,108015838,96,45.0,0,2338.0,41.5697,25.5,38.53335
2203,108030821,464,392.0,0,3280.0,14.788,36.0,35.3
2203,108033608,43,15.0,0,1500.0,34.8837,28.0,53.6
2203,108042636,155,99.0,0,3000.0,19.3548,56.0,53.6
2203,108051514,18,0.0,0,3000.0,166.6667,56.0,53.6
2203,108059029,81,39.0,0,1771.0,41.7452,22.0,35.3
2203,108067819,331,295.0,0,1144.879,6.058,18.0,26.66825
2203,108073631,42,0.0,0,3502.0,166.75,32.5,53.6
2204,107848868,233,205.0,0,1500.0,6.4378,28.0,53.6
2204,107862335,110,66.0,0,1773.0,51.8428,22.0,35.3
2204,107872112,115,87.0,0,1500.0,13.0435,28.0,53.6
2204,107899925,1150,1094.0,0,3000.0,2.6087,56.0,53.6
2204,107907563,144,79.0,0,3500.0,50.585300000000004,32.5,53.6
2204,107915806,91,28.0,0,1773.0,62.1696,21.0,26.3094
2204,107925352,88,60.0,0,1500.0,17.0455,28.0,53.6
2204,107964387,128,100.0,0,1500.0,11.7188,28.0,53.6
2204,107969769,73,22.0,0,2339.0,60.2727,25.5,38.53335
2204,107978118,81,25.0,0,3000.0,37.037,56.0,53.6
2204,107992045,292,264.0,0,1500.0,5.137,28.0,53.6
2204,107999493,643,587.0,0,3000.0,4.6656,56.0,53.6
2204,108015839,197,115.0,0,3897.0,31.7801,41.0,38.53335
2204,108026760,140,84.0,0,3000.0,21.4286,56.0,53.6
2204,108042635,29,0.0,0,3000.0,103.4483,56.0,53.6
2204,108075449,349,284.0,0,3500.0,40.2247,32.5,53.6
2204,108084749,23,0.0,0,2200.0,153.5714,25.0,34.2375
2205,107964409,218,162.0,0,3000.0,13.7615,56.0,53.6
2205,108084750,21,0.0,0,1500.0,71.4286,28.0,53.6
