Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2501,107548283,307,276.0,0,652.0,11.845600000000001,15.5,19.17085
2501,107599589,20,8.0,0,172.6,8.63,12.0,14.875
2501,107619398,55,32.0,1,653.0,22.0803,11.5,26.66825
2501,107654587,10,8.0,0,15.077,1.5077,2.0,6.3182
2501,107673784,140,120.0,0,758.0,5.4143,20.0,38.4615
2501,107692170,140,123.0,1,640.0,4.5714,17.0,38.4615
2501,107721584,9,7.0,0,15.015,1.6683,2.0,6.3182
2501,107781849,14,12.0,0,15.035,1.0739,2.0,6.3182
2501,107799508,60,42.0,1,699.3,11.655,18.0,38.4615
2501,107820047,64,50.0,0,530.4,8.2875,14.0,38.4615
2501,107829242,63,61.0,0,15.0,0.2381,2.0,6.3182
2501,107837364,14,12.0,0,15.046,1.0747,2.0,6.3182
2501,107858284,82,65.0,0,401.7,4.8988,17.0,23.4667
2501,107884951,27,15.0,0,172.083,6.3734,12.0,14.875
2501,107894171,16,4.0,0,172.7,10.7937,12.0,14.875
2501,107907568,2,0.0,0,15.033,7.5165,2.0,6.3182
2501,107926373,408,393.0,0,569.9,1.3968,15.0,38.4615
2501,107949933,10,8.0,0,14.017,1.4017,2.0,6.3182
2501,107963440,225,211.0,0,530.0,2.3556,14.0,38.4615
2501,107975586,6,4.0,0,14.6,2.4333,2.0,6.3182
2501,108033842,57,43.0,0,334.5,5.8684,14.0,23.4667
2501,108049009,193,173.0,1,758.0,3.9275,20.0,38.4615
2501,108051967,60,44.0,0,382.6,6.3767,16.0,23.4667
2501,108058736,19,17.0,0,14.531,0.7648,2.0,6.3182
2501,108058739,56,41.0,0,340.6,6.0821,15.0,23.4667
2501,108068562,30,13.0,0,397.8,13.26,17.0,23.4667
2502,107573888,326,305.0,0,486.0,1.4908,21.0,23.4667
2502,107630217,328,310.0,1,676.0,2.061,18.0,38.4615
2502,107643502,27,6.0,0,486.6,18.0222,21.0,23.4667
2502,107673347,8,6.0,0,15.042,1.8803,2.0,6.3182
2502,107673776,91,79.0,0,171.9,1.889,12.0,14.875
2502,107700722,165,145.0,0,757.605,4.5915,20.0,38.4615
2502,107711607,14,2.0,0,172.1,12.2929,12.0,14.875
2502,107737576,20,8.0,0,204.245,10.2123,12.0,17.0
2502,107741788,20,0.0,0,485.945,24.2972,21.0,23.4667
2502,107790594,42,30.0,0,173.0,4.119,12.0,14.875
2502,107815341,83,66.0,0,400.0,4.8193,17.0,23.4667
2502,107829240,12,0.0,0,172.3,14.3583,12.0,14.875
2502,107831024,18,3.0,0,259.0,14.3889,15.0,17.0
2502,107831025,84,68.0,0,367.2,4.3714,16.0,23.4667
2502,107872046,204,168.0,0,593.0,5.3187,18.0,14.89245
2502,107874920,33,19.0,0,530.2,16.0667,14.0,38.4615
2502,107896329,127,111.0,0,381.6,3.0047,16.0,23.4667
2502,107907571,24,4.0,0,758.4,31.6,20.0,38.4615
2502,107916897,13,0.0,9,487.1,37.4692,21.0,23.4667
2502,107949935,96,75.0,0,486.014,5.0626,21.0,23.4667
2502,107971789,80,65.0,0,568.6,7.1075,15.0,38.4615
2502,108033836,134,119.0,0,569.1,4.247,15.0,38.4615
2502,108045551,117,103.0,1,530.2,4.5316,14.0,38.4615
2502,108084758,83,63.0,1,756.6,9.1157,20.0,38.4615
