Tank_1,BATCHID,Material,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2501,107548283,1880112,15,7.0,622,519.796,34.6531,8.0,65.4124
2501,107599589,1648718,166,132.0,477,2066.121,52.532,8.5,52.930175000000006
2501,107619398,1880112,11,3.0,238,519.297,47.2088,8.0,65.4124
2501,107654587,1756358,8,2.0,161,27.911,3.4889,6.0,4.4886
2501,107673784,1397022,375,366.0,433,398.803,1.0635,9.0,45.2833
2501,107692170,1486042,10,3.0,900,285.129,28.5129,7.0,42.1559
2501,107721584,1756358,5,0.0,765,27.895,5.579,6.0,4.4886
2501,107781849,1756358,15,9.0,539,27.883,1.8589,6.0,4.4886
2501,107799508,1521498,11,3.0,291,348.952,31.7229,8.0,45.2833
2501,107829242,1756358,11,5.0,329,27.889,2.5354,6.0,4.4886
2501,107837364,1756358,5,0.0,227,27.893,5.5786,6.0,4.4886
2501,107858284,3044756,8,2.0,590,252.631,31.5789,6.0,42.1559
2501,107884951,1648718,220,186.0,844,2064.76,39.483399999999996,8.5,52.930175000000006
2501,107894171,1648718,406,371.0,663,2064.891,58.482800000000005,8.75,52.930175000000006
2501,107907568,1756358,10,4.0,682,27.955,2.7955,6.0,4.4886
2501,107926373,1006884,9,2.0,573,306.234,34.026,7.0,45.2833
2501,107949933,1756358,5,0.0,2261,26.038,5.2076,6.0,4.4886
2501,107963440,1529065,17,11.0,513,262.873,15.4631,6.0,42.1559
2501,107975586,1756358,3,0.0,569,26.958,8.986,6.0,4.4886
2501,108033842,1607495,5,0.0,109,365.2,73.04,8.0,45.2833
2501,108049009,1875468,52,43.0,392,399.026,7.6736,9.0,45.2833
2501,108051967,1172415,61,41.0,182,383.001,9.792,10.0,14.89245
2501,108058736,1756358,3,0.0,169,26.985,8.995,6.0,4.4886
2501,108058739,1974017,10,3.0,2050,274.253,27.4253,7.0,42.1559
2501,108068562,1552603,19,12.0,386,198.649,10.4552,7.0,29.54
2502,107573888,1779699,14,6.0,574,359.335,25.6668,8.0,45.2833
2502,107630217,1667507,10,3.0,302,338.087,33.8087,7.0,45.2833
2502,107643502,1779699,9,1.0,349,359.535,39.9483,8.0,45.2833
2502,107673347,1756358,4,0.0,214,27.928,6.982,6.0,4.4886
2502,107673776,1648718,267,235.0,191,2064.623,57.5114,8.5,52.930175000000006
2502,107700722,1875468,11,2.0,4187,398.504,36.2276,9.0,45.2833
2502,107711607,1648718,79,46.0,174,2064.432,126.1485,8.5,52.930175000000006
2502,107737576,3055706,10,5.0,209,216.511,21.6511,5.0,42.1559
2502,107741788,1779699,9,1.0,1142,359.335,39.9261,8.0,45.2833
2502,107790594,1648718,162,128.0,791,2065.375,49.154399999999995,8.5,52.930175000000006
2502,107815341,3044756,38,32.0,523,252.768,6.6518,6.0,42.1559
2502,107829240,1648718,210,177.0,248,2065.845,97.1284,8.5,52.930175000000006
2502,107831024,1667507,10,6.0,152,129.033,12.9033,4.0,29.54
2502,107831025,1875468,7,0.0,562,193.891,27.6987,7.0,29.54
2502,107872046,1172993,41,32.0,557,418.152,10.1988,9.0,45.2833
2502,107874920,1529065,4,0.0,222,389.5,97.375,9.0,45.2833
2502,107896329,1172415,24,4.0,985,384.0,27.0089,10.0,14.89245
2502,107907571,1875468,64,55.0,780,398.813,6.2315,9.0,45.2833
2502,107916897,1779699,557,549.0,145,359.635,0.6457,8.0,45.2833
2502,107949935,1779699,14,6.0,302,359.029,25.6449,8.0,45.2833
2502,107971789,1006884,17,10.0,267,306.31,18.0182,7.0,45.2833
2502,108033836,1006884,27,20.0,904,302.247,11.1943,7.0,45.2833
2502,108045551,1529065,15,6.0,218,390.0,26.0,9.0,45.2833
2502,108084758,1875468,16,7.0,331,400.2,25.0125,9.0,45.2833
