Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2503,107548288,114,95.0,1,451.0,3.9561,19.0,23.4667
2503,107582580,155,124.0,0,1086.208,10.783100000000001,15.5,29.9591
2503,107588998,148,122.0,0,1000.0,6.7568,26.0,38.4615
2503,107591594,143,115.0,0,1500.0,10.4895,28.0,53.6
2503,107599585,159,118.0,0,1801.0,26.9449,20.5,38.53335
2503,107610053,139,93.0,0,1799.0,43.471900000000005,23.0,35.3
2503,107613203,34,1.0,0,1073.179,53.2482,19.0,22.38985
2503,107616072,22,0.0,0,860.0,83.2479,18.0,23.4667
2503,107643491,714,674.0,0,1703.0,5.1117,20.0,35.3
2503,107643500,39,4.0,0,861.0,44.0,18.0,23.4667
2503,107660417,81,65.0,0,603.341,7.4487,16.0,38.4615
2503,107673799,59,33.0,0,1000.0,16.9492,26.0,38.4615
2503,107692173,190,167.0,0,867.0,4.5632,23.0,38.4615
2503,107695807,566,531.0,0,1569.0,12.540500000000002,19.5,29.9591
2503,107711621,201,175.0,0,1000.0,4.9751,26.0,38.4615
2503,107721590,162,125.0,0,600.0,6.4656,18.5,14.89245
2503,107762133,177,137.0,1,1703.0,22.7926,20.0,35.3
2503,107769546,88,62.0,0,1000.0,11.3636,26.0,38.4615
2503,107781845,232,194.0,0,1073.0,10.6288,19.0,22.38985
2503,107792248,2,0.0,72,854.0,427.0,22.0,38.4615
2503,107799503,106,60.0,71,1800.0,44.8883,23.0,35.3
2503,107807968,229,206.0,0,1206.0,5.2664,23.0,53.6
2503,107813998,58,23.0,0,1073.199,28.541400000000003,19.0,22.38985
2503,107829185,104,82.0,0,855.0,8.2212,22.0,38.4615
2503,107874915,60,26.0,0,1073.278,28.3906,19.0,22.38985
2503,107874934,109,83.0,0,1000.0,9.1743,26.0,38.4615
2503,107894167,113,75.0,0,1073.2,15.0841,19.0,22.38985
2503,107916904,156,130.0,17,1000.0,6.4103,26.0,38.4615
2503,107926379,73,32.0,0,963.0,29.4958,20.5,23.4667
2503,107926393,43,17.0,0,1000.0,23.2558,26.0,38.4615
2503,107937909,52,38.0,0,337.0,6.4808,14.0,23.4667
2503,107940278,110,89.0,0,500.0,4.5455,21.0,23.4667
2503,107959479,68,38.0,0,1041.0,25.875,16.0,22.38985
2503,107963442,29,2.0,0,861.0,62.902,18.0,23.4667
2503,107979412,209,187.0,0,856.0,4.0957,22.0,38.4615
2503,107979414,37,23.0,0,335.89,9.0781,14.0,23.4667
2503,107988451,106,73.0,0,1536.05,26.5915,16.5,29.9591
2503,107996308,328,288.0,0,1703.0,8.7412,20.0,35.3
2503,107996319,249,216.0,1,1530.0,14.3607,16.5,29.9591
2503,108026803,94,59.0,0,1608.0,26.3881,17.5,34.2375
2503,108033837,358,335.0,0,1206.0,3.3687,23.0,53.6
2503,108041492,291,258.0,0,1530.029,6.8692,16.5,29.9591
2503,108045504,63,51.0,82,73.179,1.1616,12.0,6.3182
2503,108051972,230,200.0,0,1608.0,6.9913,30.0,53.6
2503,108068558,154,123.0,0,1075.1970000000001,11.1375,15.5,29.9591
2503,108075715,92,73.0,0,449.0,4.8804,19.0,23.4667
2504,107563460,116,95.0,0,812.0,7.0,21.0,38.4615
2504,107591055,34,20.0,0,338.0,9.9412,14.0,23.4667
2504,107591591,177,145.0,0,1040.876,9.0547,16.0,22.38985
2504,107596918,428,405.0,0,1207.0,2.8201,23.0,53.6
2504,107599588,141,115.0,0,998.0,7.078,26.0,38.4615
2504,107610054,67,26.0,0,960.858,30.0399,20.5,23.4667
2504,107619384,88,47.0,0,1801.0,42.2578,20.5,38.53335
2504,107619396,246,225.0,0,810.0,3.2927,21.0,38.4615
2504,107619406,26,0.0,0,1000.0,38.4615,26.0,38.4615
2504,107630223,94,75.0,0,1001.0,10.6489,19.0,53.6
2504,107643492,53,34.0,0,452.0,8.5283,19.0,23.4667
2504,107643493,218,204.0,0,339.0,1.555,14.0,23.4667
2504,107650510,31,1.0,0,600.0,33.8384,18.5,14.89245
2504,107650552,220,182.0,0,1073.0,10.891,19.0,22.38985
2504,107684380,116,78.0,0,1073.179,14.1608,19.0,22.38985
