Tank_1,BATCHID,Phase_duration,Phase_overrun,Phase_start_delay,Quantity,Flowrate_KGMIN,Target_Phase_duration,Target_Flowrate
2601,107579279,51,1.0,1,0.0,0.0,16.666666666666668,
2601,107609604,51,1.0,0,0.0,0.0,16.666666666666668,
2601,107628743,60,0.0,2,0.0,0.0,20.0,
2601,107657881,96,1.0,1,0.0,0.0,23.75,
2601,107671161,61,1.0,1,0.0,0.0,20.0,
2601,107691051,95,0.0,1,0.0,0.0,23.75,
2601,107718990,50,0.0,2,0.0,0.0,16.666666666666668,
2601,107720157,97,2.0,2,0.0,0.0,23.75,
2601,107731815,60,0.0,1,0.0,0.0,20.0,
2601,107734265,97,2.0,0,0.0,0.0,23.75,
2601,107743160,66,1.0,0,0.0,0.0,21.666666666666668,
2601,107748062,81,1.0,1,0.0,0.0,26.666666666666668,
2601,107769534,62,2.0,38,0.0,0.0,20.0,
2601,107784321,90,0.0,1,0.0,0.0,30.0,
2601,107792342,81,1.0,1,0.0,0.0,26.666666666666668,
2601,107795797,96,1.0,2,0.0,0.0,23.75,
2601,107796944,66,1.0,0,0.0,0.0,21.666666666666668,
2601,107807261,62,2.0,1,0.0,0.0,20.0,
2601,107817306,90,0.0,1,0.0,0.0,30.0,
2601,107831957,96,1.0,2,0.0,0.0,23.75,
2601,107842003,61,1.0,1,0.0,0.0,20.0,
2601,107873947,66,1.0,1,0.0,0.0,21.666666666666668,
2601,107880059,81,1.0,1,0.0,0.0,26.666666666666668,
2601,107899139,51,1.0,2,0.0,0.0,16.666666666666668,
2601,107913400,62,2.0,1,0.0,0.0,20.0,
2601,107924004,96,1.0,1,0.0,0.0,23.75,
2601,107936750,65,0.0,1,0.0,0.0,21.666666666666668,
2601,107970928,67,2.0,8,0.0,0.0,21.666666666666668,
2601,107988686,60,0.0,2,0.0,0.0,20.0,
2601,108002422,60,0.0,1,0.0,0.0,20.0,
2601,108037928,61,1.0,0,0.0,0.0,20.0,
2601,108046604,66,1.0,0,0.0,0.0,21.666666666666668,
2601,108060668,60,0.0,1,0.0,0.0,20.0,
2601,108080114,60,0.0,2,0.0,0.0,20.0,
2603,107700556,61,1.0,0,0.0,0.0,20.0,
2603,107983966,96,1.0,1,0.0,0.0,23.75,
2604,107559262,66,1.0,1,0.0,0.0,21.666666666666668,
2604,107588989,50,0.0,2,0.0,0.0,16.666666666666668,
2604,107599314,81,1.0,1,0.0,0.0,26.666666666666668,
2604,107599992,52,2.0,0,0.0,0.0,16.666666666666668,
2604,107642480,65,0.0,58,0.0,0.0,21.666666666666668,
2604,107759327,95,0.0,1,0.0,0.0,23.75,
2604,107776897,90,0.0,2,0.0,0.0,30.0,
2604,107956532,97,2.0,1,0.0,0.0,23.75,
2604,108037929,61,1.0,1,0.0,0.0,20.0,
2604,108081814,95,0.0,1,0.0,0.0,23.75,
